"Muscle","Beginner","Intermediate","Expert","Dominant Level"
"Shoulders","73","46","8","🟢 Beginner"
"Abdominals","71","17","5","🟢 Beginner"
"Quadriceps","68","62","18","🟢 Beginner"
"Chest","62","20","2","🟢 Beginner"
"Triceps","43","26","2","🟢 Beginner"
"Biceps","38","14","1","🟢 Beginner"
"Hamstrings","35","36","8","🟡 Intermediate"
"Lats","23","14","1","🟢 Beginner"
"Middle Back","21","10","3","🟢 Beginner"
"Forearms","18","7","0","🟢 Beginner"
"Calves","19","9","0","🟢 Beginner"
"Glutes","13","6","3","🟢 Beginner"
"Lower Back","11","12","4","🟡 Intermediate"
"Traps","12","3","0","🟢 Beginner"
"Adductors","8","4","1","🟢 Beginner"
"Neck","4","4","0","🟢 Beginner"
"Abductors","4","3","1","🟢 Beginner"
